// NPC Spawns for map square 40,67
// Format: npcTypeId - level,localX,localY
6074 - 0,21,25
6074 - 0,18,24
6074 - 0,41,19
6074 - 0,41,22
6070 - 0,24,28
6071 - 0,31,34
6057 - 0,50,52
6060 - 0,35,44
6057 - 0,34,48
6074 - 0,48,48
6058 - 0,41,35
6074 - 0,36,41
6059 - 0,52,35
6060 - 0,36,41
6074 - 0,42,39
6056 - 0,54,38
6074 - 0,56,42
6074 - 0,51,51
6055 - 0,57,44
6058 - 0,44,58
6060 - 0,55,34
6058 - 0,54,38
6057 - 0,46,38
6055 - 0,56,44
6058 - 0,54,41
6059 - 0,39,55
7846 - 0,42,55
6074 - 0,54,49
6074 - 0,45,34
6055 - 0,54,52
6062 - 0,59,26
6057 - 0,60,28
6055 - 0,56,25
6074 - 0,57,18
7904 - 0,63,22
6056 - 0,52,15
6074 - 0,59,4
6059 - 0,43,0
6059 - 0,56,2
6058 - 0,46,1
6058 - 0,42,2
6057 - 0,46,7
6074 - 0,51,15
6055 - 0,43,9
6055 - 0,40,2
6074 - 0,46,15
6074 - 0,42,15
6058 - 0,37,8
6055 - 0,43,15
6074 - 0,44,10
6060 - 0,34,6
6056 - 0,30,5
6056 - 0,30,7
6057 - 0,54,16
6057 - 0,22,9
7904 - 0,22,9
6055 - 0,17,6
6074 - 0,11,1
6074 - 0,22,10
6055 - 0,19,13
6074 - 0,12,7
7905 - 0,6,2
6057 - 0,8,10
6061 - 0,4,3
6074 - 0,3,14
6056 - 0,0,10
7905 - 0,13,19
6058 - 0,7,27
6060 - 0,10,27
7904 - 0,1,33
6056 - 0,9,32
6055 - 0,8,27
6074 - 0,13,23
6059 - 0,8,39
6057 - 0,12,34
6056 - 0,14,39
6060 - 0,10,27
6059 - 0,13,44
6059 - 0,13,29
6074 - 0,9,45
6055 - 0,1,18
6060 - 0,8,49
6060 - 0,11,48
6056 - 0,8,48
6057 - 0,13,49
6074 - 0,27,50
6055 - 0,19,51
6056 - 0,27,61
6056 - 0,34,59
6055 - 0,23,54
6074 - 0,35,59
6074 - 0,37,59
6074 - 0,21,62
6059 - 0,30,51
6060 - 0,55,50
6057 - 0,48,54
6058 - 0,51,18
6056 - 0,37,15
6060 - 0,48,17
